#Gene	Gene Description	DIU Result	Q-Value	Major Isoform Switching	Switching Times	1 T1 MeanExpLevel	1 T2 MeanExpLevel	1 T3 MeanExpLevel
A4GALT	A4GALT	DIU	0.0029805	YES	3	419.26	712.18	394.74
AAAS	AAAS	Not DIU	0.088451	YES	3	80.55	50.54	60.76
AACS	AACS	DIU	1.8321E-10	YES	3	5813.74	1741.65	596.18
AADACL2	AADACL2	Not DIU	0.40773	YES	1	1551.5	1495.67	1541.89
AAGAB	AAGAB	Not DIU	0.79491	YES	2	706.42	741.8	655.6
AAK1	AAK1	Not DIU	0.2427	NO		590.04	537.46	514.38
AAMP	AAMP	Not DIU	0.79256	NO		516.24	526.87	489.64
AAR2	AAR2	Not DIU	0.11966	NO		276.96	235.08	191.95
AARS	AARS	Not DIU	0.096943	YES	1	1102.01	999.97	1096.31
AARSD1	AARSD1	Not DIU	0.057326	YES	1,2	461.03	437.82	340.2
AASDH	AASDH	Not DIU	0.20111	NO		730.39	644.25	634.08
AASS	AASS	Not DIU	0.75692	NO		367.18	361.26	314.59
AATF	AATF	Not DIU	0.20995	NO		499.84	593.01	611.48
ABCA5	ABCA5	Not DIU	0.97909	NO		489.93	551.38	813.38
ABCA6	ABCA6	Not DIU	0.85839	NO		1767.2	1961.34	1107.14
ABCA9	ABCA9	DIU	5.4978E-5	NO		5279.13	4654.81	4264.05
ABCB1	ABCB1	DIU	0.039355	YES	3	295.77	326.41	397.64
ABCB10	ABCB10	DIU	0.0014978	NO		389.79	388.04	298.16
ABCB4	ABCB4	DIU	1.705E-4	NO		29.3	42.31	45.75
ABCB6	ABCB6	DIU	1.915E-6	YES	3	374.81	285.91	350.8
ABCB7	ABCB7	Not DIU	0.070669	YES	3	404.4	357.17	299.8
ABCC1	ABCC1	Not DIU	0.077727	NO		197.47	190.24	187.73
ABCC10	ABCC10	Not DIU	0.64914	NO		56.99	55.12	53.17
ABCC3	ABCC3	Not DIU	0.64916	YES	2	119.97	158.43	207.39
ABCC5	ABCC5	Not DIU	0.24651	NO		414.03	468.33	329.43
ABCC6	ABCC6	Not DIU	0.46763	YES	1	518.4	246.42	101.2
ABCC9	ABCC9	Not DIU	0.40045	NO		939.46	773.75	717.46
ABCD1	ABCD1	Not DIU	0.098075	NO		142.84	91.28	84.2
ABCD3	ABCD3	DIU	0.00825	NO		1166.01	1000.24	735.94
ABCD4	ABCD4	Not DIU	0.083689	NO		157.99	148.18	53.26
ABCE1	ABCE1	DIU	0.0031938	NO		1926.59	1969.52	1675.54
ABCF1	ABCF1	Not DIU	0.78241	NO		618.41	676.07	655.91
ABCG2	ABCG2	Not DIU	0.14366	NO		777.3	753.71	886.5
ABHD10	ABHD10	Not DIU	0.11452	YES	1,2	131.38	119.19	144.43
ABHD14B	ABHD14B	DIU	0.022339	YES	2	369.05	439.59	447.17
ABHD16A	ABHD16A	DIU	0.018956	YES	3	672.32	656.35	621.69
ABHD17B	ABHD17B	Not DIU	0.81827	NO		294.14	274.89	263.73
ABHD18	ABHD18	Not DIU	0.42702	NO		219.07	228.25	288.49
ABHD4	ABHD4	DIU	0.035253	NO		478.5	430.06	501.04
ABHD5	ABHD5	DIU	6.8063E-4	NO		348.36	366.74	311.23
ABHD6	ABHD6	Not DIU	0.13564	YES	1	74.33	72.77	48.45
ABI1	ABI1	Not DIU	0.89732	NO		697.45	757.08	790.31
ABI2	ABI2	Not DIU	0.078639	YES	1	195.84	225.48	237.99
ABI3BP	ABI3BP	DIU	0.0062586	NO		2534.82	2734.91	1306.72
ABL2	ABL2	DIU	0.0017734	NO		287.66	294.31	364.07
ABLIM3	ABLIM3	Not DIU	0.26413	NO		862.86	922.18	926.31
ABR	ABR	Not DIU	0.28256	NO		453.22	550.81	804.55
ABRAXAS1	ABRAXAS1	Not DIU	0.30471	YES	2	229.05	299.01	213.47
ABRAXAS2	ABRAXAS2	Not DIU	0.51651	YES	2	355.77	325.82	307.65
ABTB1	ABTB1	DIU	7.9081E-6	YES	3	269.38	263.89	125.61
ACAA2	ACAA2	Not DIU	0.32712	NO		963.72	1069.44	1142.1
ACACA	ACACA	DIU	2.7391E-136	YES	2,3	112652.59	16701.05	7333.44
ACAD10	ACAD10	DIU	2.7229E-8	YES	1	277.69	168.43	126.56
ACAD11	ACAD11	Not DIU	0.55997	YES	1,2	1883.33	1734.08	1906.56
ACAD9	ACAD9	DIU	5.6723E-7	YES	2,3	971.15	608.31	526.08
ACADL	ACADL	Not DIU	0.91228	YES	3	10188.16	4696.34	1828.58
ACADM	ACADM	DIU	0.014521	NO		750.59	478.6	324.26
ACADSB	ACADSB	Not DIU	0.1263	NO		2206.65	2222.46	929.22
ACADVL	ACADVL	Not DIU	0.79784	NO		1549.79	1160.4	814.65
ACAP1	ACAP1	Not DIU	0.3417	NO		44.75	65.6	119.66
ACAP2	ACAP2	Not DIU	0.45027	NO		1256.74	1223.56	1274.54
ACAP3	ACAP3	Not DIU	0.95697	NO		366.72	227.19	140.53
ACAT1	ACAT1	DIU	1.055E-9	NO		2037.46	1496.99	1126.58
ACAT2	ACAT2	Not DIU	0.15075	NO		528.95	314.46	227.7
ACBD3	ACBD3	Not DIU	0.57861	NO		594.32	641.84	713.16
ACBD4	ACBD4	DIU	0.0087565	YES	1	35.34	24.65	35.66
ACBD5	ACBD5	DIU	1.0403E-4	NO		526.64	531.61	467.02
ACBD6	ACBD6	DIU	0.039373	NO		184.33	217.1	272.56
ACCS	ACCS	DIU	1.0427E-6	YES	3	426.53	338.13	212.35
ACD	ACD	DIU	0.049103	NO		33.14	35.69	42.31
ACER2	ACER2	Not DIU	0.38442	NO		117.26	148.45	283.93
ACER3	ACER3	Not DIU	0.071282	NO		463.13	333.6	260.01
ACIN1	ACIN1	DIU	7.7284E-5	NO		1312.01	1271.64	1378.57
ACKR2	ACKR2	Not DIU	0.68366	NO		553.67	470.08	389.1
ACKR4	ACKR4	Not DIU	0.80345	YES	2	151.11	147.84	97.49
ACLY	ACLY	DIU	2.1874E-8	YES	2,3	19228.09	2081.87	1590.3
ACO1	ACO1	DIU	8.7964E-23	YES	3	6408.42	2599.08	1343.13
ACO2	ACO2	DIU	1.4258E-4	NO		2435.82	1418.36	561.45
ACOT6	ACOT6	DIU	8.7056E-12	NO		866.17	652.87	571.62
ACOT8	ACOT8	DIU	0.018235	YES	3	269.92	188.62	209.92
ACOT9	ACOT9	DIU	0.015547	NO		2021.48	1897.06	1788.96
ACOX1	ACOX1	DIU	0.044801	NO		1749.73	1372.53	993.13
ACOX3	ACOX3	DIU	4.1843E-6	YES	3	137.6	117.64	186.33
ACP1	ACP1	DIU	0.019029	NO		361.59	333.62	363.75
ACP5	ACP5	Not DIU	0.86381	NO		132.92	126.78	91.65
ACP6	ACP6	DIU	6.9614E-4	NO		207.25	203.12	146.01
ACSF3	ACSF3	Not DIU	0.17029	NO		107.82	112.37	115.88
ACSL1	ACSL1	DIU	1.4654E-69	YES	3	34585.84	9151.49	2257.19
ACSL3	ACSL3	Not DIU	0.77267	NO		379.2	316.99	270.25
ACSL4	ACSL4	Not DIU	0.27249	NO		1857.87	1245.25	1278.06
ACSL5	ACSL5	Not DIU	0.1904	NO		182.51	182.33	205.78
ACSM3	ACSM3	Not DIU	0.92095	NO		246.73	197.45	149.78
ACSM5	ACSM5	Not DIU	0.74735	YES	2,3	634.25	358.27	59.36
ACSS2	ACSS2	DIU	2.8127E-10	YES	1	4333.48	2489.15	1326.02
ACSS3	ACSS3	Not DIU	0.60493	NO		529.89	411.07	266.79
ACTA2	ACTA2	Not DIU	0.73861	NO		897.88	1202.5	1128.33
ACTG2	ACTG2	Not DIU	0.244	YES	3	45.18	22.71	39.02
ACTL6A	ACTL6A	Not DIU	0.12011	NO		193.7	220.48	263.54
ACTN1	ACTN1	Not DIU	0.35376	NO		706.7	872.82	1442.79
ACTN4	ACTN4	Not DIU	0.81825	NO		1837.56	2226.77	2670.2
ACTR10	ACTR10	Not DIU	0.76042	NO		705.23	666.23	602.4
ACTR1B	ACTR1B	DIU	1.8616E-9	NO		1660.69	1249.32	895.84
ACTR3	ACTR3	Not DIU	0.34088	NO		1889.56	1819.94	1542.49
ACTR3B	ACTR3B	Not DIU	0.43324	NO		159.91	183.27	162.16
ACTR6	ACTR6	Not DIU	0.67571	YES	3	147.26	136.78	114.92
ACTR8	ACTR8	Not DIU	0.54647	YES	2	429.5	406.04	364.79
ACVR1	ACVR1	DIU	2.9064E-4	YES	1	251.05	254.29	222.69
ACVR1B	ACVR1B	DIU	0.0089109	NO		401.95	329.71	230.95
ACVR1C	ACVR1C	Not DIU	0.43194	NO		1069.34	1283.06	590.35
ACVRL1	ACVRL1	Not DIU	0.050293	YES	1	721.52	763.75	741.85
ACYP1	ACYP1	DIU	7.7008E-16	YES	1,3	290.47	302.12	322.88
ACYP2	ACYP2	DIU	3.3599E-4	NO		364.65	244.82	147.26
ADA	ADA	DIU	6.768E-4	NO		234.6	282.42	177.54
ADA2	ADA2	Not DIU	0.74029	NO		148.03	165.58	120.95
ADAL	ADAL	Not DIU	0.064086	YES	3	238.98	164.12	120.43
ADAM10	ADAM10	DIU	6.2028E-6	YES	3	792.84	778.79	547.54
ADAM15	ADAM15	DIU	8.8015E-7	YES	3	755.66	662.06	709.15
ADAM17	ADAM17	Not DIU	0.08643	YES	1,2	921.16	841.47	866.58
ADAM19	ADAM19	Not DIU	0.15449	NO		403.36	392.16	302.13
ADAM22	ADAM22	DIU	0.022027	YES	3	350.59	372.3	229.84
ADAM8	ADAM8	Not DIU	0.56789	NO		50.62	51.46	20.62
ADAM9	ADAM9	DIU	0.013174	NO		2233.79	1814.42	1232.07
ADAMTS1	ADAMTS1	Not DIU	0.58905	NO		416.15	398.5	271.74
ADAMTS10	ADAMTS10	Not DIU	0.73724	NO		63.49	95.59	186.1
ADAMTS12	ADAMTS12	Not DIU	0.095662	NO		2700.53	2763.32	2002.17
ADAMTS16	ADAMTS16	Not DIU	0.84794	NO		143.83	95.88	55.96
ADAMTS9	ADAMTS9	Not DIU	0.07238	NO		470.75	349.21	309.89
ADAMTSL1	ADAMTSL1	Not DIU	0.44309	YES	3	242.56	311.88	629.48
ADAMTSL4	ADAMTSL4	Not DIU	0.86273	NO		219.71	175.62	195.43
ADAP2	ADAP2	Not DIU	0.67429	YES	3	273.53	297.06	285.22
ADAR	ADAR	Not DIU	0.11497	YES	3	571.26	585.04	855.76
ADARB1	ADARB1	Not DIU	0.23483	NO		453.61	485.72	382.44
ADAT1	ADAT1	Not DIU	0.60995	NO		133.59	126.05	116.62
ADCK1	ADCK1	Not DIU	0.7526	NO		49.82	61.68	71.73
ADCK2	ADCK2	Not DIU	0.93595	NO		128.96	131.0	126.98
ADCK5	ADCK5	Not DIU	0.077799	YES	2,3	96.25	56.53	54.11
ADCY3	ADCY3	Not DIU	0.3031	YES	1,3	112.12	111.37	139.35
ADCY4	ADCY4	Not DIU	0.23795	NO		90.54	109.71	212.38
ADCY6	ADCY6	Not DIU	0.75023	NO		1186.78	1238.85	1028.56
ADCY9	ADCY9	Not DIU	0.45754	NO		495.9	556.74	563.3
ADD1	ADD1	Not DIU	0.94534	NO		2127.57	2000.92	1963.58
ADGRA3	ADGRA3	Not DIU	0.65266	NO		786.7	915.07	717.18
ADGRD1	ADGRD1	Not DIU	0.13785	NO		1427.77	1563.56	1696.58
ADGRE2	ADGRE2	Not DIU	0.32508	NO		67.32	73.92	136.59
ADGRE5	ADGRE5	DIU	0.010719	YES	1	885.41	831.63	538.55
ADGRF5	ADGRF5	DIU	0.031228	NO		3984.6	5684.73	4134.1
ADGRG1	ADGRG1	Not DIU	0.66622	YES	1	167.83	256.2	224.8
ADGRG2	ADGRG2	Not DIU	0.76347	NO		381.0	733.95	511.44
ADGRG3	ADGRG3	Not DIU	0.70298	YES	3	52.79	58.97	74.75
ADGRG6	ADGRG6	Not DIU	0.59232	NO		324.8	296.4	149.36
ADGRG7	ADGRG7	Not DIU	0.47079	YES	2	68.79	73.82	41.13
ADGRL1	ADGRL1	Not DIU	0.70541	YES	3	115.9	114.49	163.52
ADGRL2	ADGRL2	DIU	2.286E-5	YES	1	654.79	750.42	616.45
ADGRL3	ADGRL3	Not DIU	0.52663	YES	3	124.0	150.82	112.6
ADGRL4	ADGRL4	Not DIU	0.94785	NO		761.81	689.88	529.64
ADH4	ADH4	Not DIU	0.20005	NO		72.29	78.01	119.69
ADH6	ADH6	Not DIU	0.51694	NO		79.26	76.41	89.88
ADHFE1	ADHFE1	Not DIU	0.35109	YES	1,3	179.34	148.38	132.43
ADIG_LOC113258597	ADIG_LOC113258597	Not DIU	0.78817	YES	2	205.03	109.8	28.14
ADIPOR1	ADIPOR1	Not DIU	0.66189	NO		1200.27	1132.59	981.99
ADIPOR2	ADIPOR2	DIU	0.012572	NO		35034.67	25596.87	14216.69
ADK	ADK	DIU	0.014614	NO		1622.59	1132.38	730.74
ADNP	ADNP	Not DIU	0.23651	NO		1147.07	1097.69	1154.62
ADORA1	ADORA1	Not DIU	0.57798	NO		1183.74	705.41	325.71
ADPGK	ADPGK	Not DIU	0.42433	NO		707.27	650.17	632.45
ADPRH	ADPRH	DIU	2.2825E-4	YES	2,3	233.55	255.56	166.69
ADPRHL1	ADPRHL1	DIU	0.0020888	YES	1,2	86.82	94.66	120.99
ADPRM	ADPRM	Not DIU	0.78025	YES	2	53.78	55.26	48.1
ADRA1A	ADRA1A	Not DIU	0.78871	NO		228.68	278.17	179.26
ADRA2A	ADRA2A	Not DIU	0.87093	NO		375.28	487.57	769.01
ADRM1	ADRM1	DIU	0.022362	NO		2177.2	2112.71	1899.18
ADSL	ADSL	DIU	1.6015E-5	YES	3	522.64	414.0	363.69
ADSS	ADSS	DIU	1.7596E-4	NO		286.95	355.27	340.72
ADSSL1	ADSSL1	DIU	3.516E-6	NO		396.87	163.76	169.19
AEBP2	AEBP2	Not DIU	0.93476	NO		342.95	392.24	488.82
AEN	AEN	Not DIU	0.76107	NO		130.61	155.6	275.49
AFAP1	AFAP1	DIU	8.0817E-8	YES	2,3	481.14	531.65	743.72
AFAP1L1	AFAP1L1	Not DIU	0.96619	YES	3	152.83	171.21	197.36
AFAP1L2	AFAP1L2	Not DIU	0.14992	YES	1,2	160.83	103.34	117.62
AFDN	AFDN	Not DIU	0.23348	YES	1,2	2043.99	2597.17	2804.82
AFF1	AFF1	DIU	0.0010755	NO		942.93	1047.06	930.55
AFF2	AFF2	Not DIU	0.43459	YES	2,3	146.64	154.92	122.74
AFG1L	AFG1L	Not DIU	0.40266	YES	2	134.52	120.05	82.34
AFG3L2	AFG3L2	Not DIU	0.42338	YES	1,2	1318.94	1108.37	934.89
AFM	AFM	Not DIU	0.67214	NO		34.13	41.03	37.52
AFMID	AFMID	Not DIU	0.073393	YES	2	27.65	27.38	24.14
AFTPH	AFTPH	Not DIU	0.61301	NO		623.67	681.7	720.14
AGA	AGA	Not DIU	0.68279	NO		363.22	347.38	269.33
AGAP1	AGAP1	Not DIU	0.24409	NO		529.69	763.75	765.87
AGAP2	AGAP2	Not DIU	0.50334	YES	1,3	43.53	66.54	26.12
AGAP3	AGAP3	Not DIU	0.34354	NO		306.19	370.8	421.97
AGBL2	AGBL2	Not DIU	0.071879	NO		80.47	79.46	61.86
AGBL3	AGBL3	Not DIU	0.93768	NO		273.3	343.05	283.55
AGBL4	AGBL4	Not DIU	0.46162	NO		63.66	53.64	41.29
AGBL5	AGBL5	Not DIU	0.27853	YES	3	85.35	70.4	130.34
AGFG1	AGFG1	DIU	0.018414	NO		519.42	573.82	542.33
AGGF1	AGGF1	Not DIU	0.6147	NO		499.08	500.42	629.55
AGK	AGK	Not DIU	0.4942	YES	2,3	347.88	278.06	341.31
AGL	AGL	Not DIU	0.14732	NO		2904.61	2138.74	1290.86
AGMO	AGMO	Not DIU	0.93832	NO		63.92	76.32	49.33
AGO1	AGO1	Not DIU	0.8707	NO		455.95	490.98	624.25
AGO2	AGO2	Not DIU	0.66484	NO		422.94	474.43	454.63
AGPAT1	AGPAT1	Not DIU	0.39869	NO		343.15	273.35	160.89
AGPAT2	AGPAT2	DIU	0.041215	NO		5173.4	3526.12	1038.06
AGPAT3	AGPAT3	Not DIU	0.0573	YES	3	976.16	690.95	503.83
AGPAT4	AGPAT4	Not DIU	0.63082	YES	3	104.74	65.6	49.04
AGPS	AGPS	Not DIU	0.14588	NO		1072.36	939.86	912.22
AGT	AGT	Not DIU	0.90461	NO		884.82	1071.81	795.7
AGTPBP1	AGTPBP1	Not DIU	0.29069	NO		483.44	476.77	455.55
AGTR1	AGTR1	DIU	2.016E-6	NO		835.01	812.04	439.72
AGTRAP	AGTRAP	Not DIU	0.59478	NO		184.01	171.88	154.33
AHCTF1	AHCTF1	Not DIU	0.56289	NO		2013.51	2317.05	2644.36
AHCYL2	AHCYL2	Not DIU	0.10081	NO		311.46	294.64	211.78
AHI1	AHI1	Not DIU	0.61191	YES	3	405.64	513.05	594.71
AHR	AHR	Not DIU	0.40369	NO		1098.53	1208.14	1470.84
AIFM2	AIFM2	Not DIU	0.080014	YES	3	2739.09	2248.41	1400.91
AIG1	AIG1	DIU	3.7777E-10	YES	3	392.83	350.07	237.76
AIMP1	AIMP1	Not DIU	0.091165	NO		396.85	356.72	301.33
AIMP2	AIMP2	Not DIU	0.64104	NO		108.74	90.83	76.01
AIP	AIP	Not DIU	0.97531	NO		184.33	203.71	167.91
AK2	AK2	DIU	8.9412E-6	NO		4161.7	1769.39	728.48
AK4	AK4	Not DIU	0.24209	YES	2,3	1360.29	1386.1	1249.6
AK6	AK6	DIU	0.0063554	NO		181.64	146.66	108.88
AK7	AK7	Not DIU	0.30922	YES	1	11.47	14.69	87.34
AKAP1	AKAP1	Not DIU	0.67602	NO		352.58	490.53	435.07
AKAP11	AKAP11	Not DIU	0.88788	NO		2458.73	2807.78	2673.39
AKAP13	AKAP13	Not DIU	0.81355	NO		3958.65	4822.58	5058.05
AKAP17A	AKAP17A	Not DIU	0.63396	NO		192.26	220.67	239.16
AKAP2	AKAP2	Not DIU	0.95905	YES	1	1505.8	2323.41	1942.32
AKAP7	AKAP7	Not DIU	0.53592	NO		153.73	175.2	136.9
AKAP8	AKAP8	Not DIU	0.19719	YES	1	340.28	322.93	366.61
AKIP1	AKIP1	Not DIU	0.34181	NO		430.59	616.8	560.09
AKNAD1	AKNAD1	DIU	0.024174	NO		30.78	36.52	37.06
AKR1A1	AKR1A1	Not DIU	0.27565	NO		393.74	321.99	271.42
AKR1E2	AKR1E2	Not DIU	0.41981	NO		660.0	533.95	394.55
AKT1S1	AKT1S1	Not DIU	0.12971	NO		237.6	188.27	155.07
AKT2	AKT2	DIU	9.2526E-7	YES	2,3	3912.43	2540.03	1492.14
AKT3	AKT3	Not DIU	0.915	NO		780.1	1093.87	1187.76
AKTIP	AKTIP	Not DIU	0.080046	NO		492.6	600.0	508.0
ALAD	ALAD	Not DIU	0.081316	YES	3	1123.18	458.86	243.3
ALAS1	ALAS1	DIU	0.0043507	NO		804.86	619.39	625.2
ALB	ALB	DIU	0.019807	NO		434.35	493.26	459.52
ALDH16A1	ALDH16A1	Not DIU	0.36819	NO		254.62	163.87	85.84
ALDH18A1	ALDH18A1	DIU	1.2106E-7	NO		526.33	328.62	260.59
ALDH1A1	ALDH1A1	Not DIU	0.8731	NO		2772.1	3112.97	2346.21
ALDH1L1	ALDH1L1	DIU	8.5697E-5	YES	2,3	902.83	155.47	58.05
ALDH1L2	ALDH1L2	Not DIU	0.87961	NO		328.14	183.94	947.92
ALDH2	ALDH2	DIU	0.001438	YES	1	8340.33	6831.0	4126.56
ALDH3A2	ALDH3A2	Not DIU	0.15013	NO		1077.47	914.27	905.12
ALDH4A1	ALDH4A1	DIU	0.037602	YES	1,2	501.47	154.42	68.89
ALDH5A1	ALDH5A1	Not DIU	0.2571	NO		172.27	130.04	124.66
ALDH7A1	ALDH7A1	DIU	1.368E-6	YES	1	479.46	447.54	409.95
ALDH9A1	ALDH9A1	DIU	7.547E-4	YES	3	1782.46	1881.75	1298.36
ALDOA	ALDOA	DIU	3.7685E-19	NO		17743.04	9175.19	5212.06
ALDOB	ALDOB	Not DIU	0.95079	NO		33.54	33.95	43.97
ALG1	ALG1	Not DIU	0.62776	YES	1	173.79	132.43	133.76
ALG11	ALG11	DIU	0.0010769	NO		276.19	258.84	281.54
ALG12	ALG12	Not DIU	0.7845	NO		245.0	193.17	188.22
ALG13	ALG13	Not DIU	0.93479	YES	2	325.22	285.77	247.33
ALG14	ALG14	DIU	0.0089009	NO		166.11	108.24	65.64
ALG2	ALG2	Not DIU	0.30922	YES	1	117.84	102.97	86.18
ALG3	ALG3	Not DIU	0.68886	NO		64.67	54.37	64.55
ALG6	ALG6	DIU	0.022599	NO		210.73	215.79	266.47
ALG8	ALG8	Not DIU	0.42191	NO		48.51	44.89	53.23
ALG9	ALG9	Not DIU	0.88548	YES	1	602.73	445.21	238.88
ALKBH1	ALKBH1	Not DIU	0.7271	NO		157.91	153.39	144.43
ALKBH2	ALKBH2	Not DIU	0.54426	NO		47.52	52.11	44.25
ALKBH3	ALKBH3	Not DIU	0.094707	NO		329.4	298.7	425.11
ALKBH5	ALKBH5	DIU	0.027442	YES	2	892.65	943.52	1102.41
ALKBH6	ALKBH6	Not DIU	0.22275	YES	3	45.34	43.84	48.36
ALMS1	ALMS1	Not DIU	0.35139	NO		1382.08	1393.06	1402.07
ALPK1	ALPK1	Not DIU	0.089538	YES	1,2	138.39	143.26	80.47
ALPK3	ALPK3	Not DIU	0.84928	NO		11.85	8.91	56.34
ALS2	ALS2	Not DIU	0.14503	YES	1	781.36	660.74	695.72
ALS2CL	ALS2CL	Not DIU	0.17944	NO		174.51	175.22	153.33
AMACR	AMACR	Not DIU	0.1789	YES	1	812.1	586.48	546.12
AMBRA1	AMBRA1	Not DIU	0.097521	YES	1,2	361.95	338.08	279.62
AMD1	AMD1	Not DIU	0.59304	NO		1044.25	977.4	810.48
AMDHD2	AMDHD2	DIU	0.002686	NO		129.51	97.82	110.65
AMMECR1	AMMECR1	Not DIU	0.28484	NO		144.64	107.26	88.62
AMMECR1L	AMMECR1L	DIU	0.029705	YES	3	393.05	381.47	296.8
AMN1	AMN1	Not DIU	0.65266	NO		49.77	52.65	52.26
AMOT	AMOT	Not DIU	0.7765	NO		316.98	343.13	246.33
AMOTL1	AMOTL1	Not DIU	0.15434	NO		1180.0	1198.18	895.64
AMOTL2	AMOTL2	Not DIU	0.68302	NO		3203.58	3311.43	2794.86
AMPD2	AMPD2	DIU	0.0072083	NO		421.3	337.12	483.23
AMT	AMT	Not DIU	0.42543	NO		31.39	41.24	36.83
ANAPC1	ANAPC1	Not DIU	0.61328	NO		550.64	566.5	866.13
ANAPC11	ANAPC11	Not DIU	0.63396	NO		193.89	160.84	140.63
ANAPC13	ANAPC13	DIU	0.0056784	YES	2	596.81	539.0	379.04
ANAPC16	ANAPC16	Not DIU	0.85461	NO		968.9	999.97	585.94
ANAPC4	ANAPC4	Not DIU	0.64961	YES	3	447.01	493.67	582.44
ANAPC5	ANAPC5	DIU	0.0029949	NO		372.69	320.74	339.49
ANAPC7	ANAPC7	DIU	0.014811	YES	3	681.62	613.04	590.72
ANGEL1	ANGEL1	Not DIU	0.28087	NO		143.78	127.53	163.13
ANGEL2	ANGEL2	Not DIU	0.30654	NO		414.61	328.35	257.66
ANGPT1	ANGPT1	Not DIU	0.43061	NO		583.18	756.22	599.41
ANGPT2	ANGPT2	Not DIU	0.072092	YES	1	170.32	135.7	122.54
ANGPT4	ANGPT4	Not DIU	0.11593	NO		223.59	445.94	317.52
ANHX	ANHX	DIU	0.038065	NO		90.04	100.44	115.9
ANK2	ANK2	DIU	0.0063507	NO		2245.1	2007.95	1932.76
ANK3	ANK3	Not DIU	0.657	NO		182.91	174.84	93.11
ANKFY1	ANKFY1	DIU	2.2691E-5	YES	3	1133.3	1183.57	1080.78
ANKH	ANKH	Not DIU	0.27419	NO		551.2	635.04	637.93
ANKIB1	ANKIB1	Not DIU	0.98593	NO		976.55	961.97	934.55
ANKMY2	ANKMY2	Not DIU	0.16415	NO		611.55	570.6	599.05
ANKRA2	ANKRA2	DIU	0.0012756	YES	1	261.84	270.12	302.45
ANKRD11	ANKRD11	Not DIU	0.73511	NO		591.07	675.85	1103.78
ANKRD12	ANKRD12	Not DIU	0.16538	YES	3	1573.13	1883.5	2290.97
ANKRD13A	ANKRD13A	Not DIU	0.26276	NO		579.29	583.37	771.36
ANKRD13C	ANKRD13C	Not DIU	0.071823	YES	1	571.93	507.2	483.3
ANKRD13D	ANKRD13D	Not DIU	0.24354	NO		67.37	79.07	87.37
ANKRD17	ANKRD17	DIU	0.0030996	NO		1562.08	1498.02	1601.29
ANKRD27	ANKRD27	Not DIU	0.42825	NO		605.86	674.0	909.88
ANKRD28	ANKRD28	Not DIU	0.58949	NO		778.83	745.17	679.25
ANKRD37	ANKRD37	Not DIU	0.80095	NO		168.26	160.82	347.23
ANKRD42	ANKRD42	Not DIU	0.82917	YES	2	110.23	133.48	111.95
ANKRD44	ANKRD44	DIU	0.03267	NO		334.57	414.32	507.06
ANKRD46	ANKRD46	Not DIU	0.14348	NO		927.24	1018.9	693.86
ANKRD49	ANKRD49	DIU	0.020919	NO		211.09	178.04	179.47
ANKRD54	ANKRD54	Not DIU	0.064917	NO		181.85	189.67	167.74
ANKRD6	ANKRD6	Not DIU	0.41993	NO		79.42	118.57	162.35
ANKS1A	ANKS1A	Not DIU	0.99606	NO		530.45	680.75	599.08
ANKS3	ANKS3	Not DIU	0.13817	YES	2	92.42	104.84	151.91
ANKZF1	ANKZF1	DIU	5.8448E-4	YES	1,2,3	65.44	56.85	95.39
ANO10	ANO10	DIU	7.5868E-8	NO		1333.1	1424.95	1309.78
ANOS1	ANOS1	DIU	0.037197	NO		43.76	49.89	68.27
ANP32A	ANP32A	DIU	7.4074E-6	YES	3	225.42	310.85	339.44
ANP32E	ANP32E	Not DIU	0.80051	NO		1301.4	1799.79	1414.33
ANPEP	ANPEP	Not DIU	0.76042	NO		276.76	547.13	633.01
ANTXR2	ANTXR2	Not DIU	0.90709	NO		2074.6	2317.38	1935.82
ANXA1	ANXA1	Not DIU	0.80637	NO		10878.22	13179.31	11614.13
ANXA11	ANXA11	Not DIU	0.91909	NO		924.76	1053.8	1158.68
ANXA3	ANXA3	Not DIU	0.46763	YES	2,3	472.45	489.11	594.86
ANXA4	ANXA4	DIU	1.071E-7	NO		2070.39	2111.99	1740.12
ANXA5	ANXA5	DIU	2.2762E-5	NO		5540.99	6339.99	4077.55
ANXA6	ANXA6	Not DIU	0.87556	NO		7292.53	5689.15	2789.49
ANXA7	ANXA7	Not DIU	0.17531	NO		2413.21	2431.54	2423.25
AOAH	AOAH	Not DIU	0.72187	NO		152.86	150.56	141.7
AP1B1	AP1B1	Not DIU	0.7266	NO		840.11	664.96	527.99
AP1G1	AP1G1	DIU	3.4403E-4	NO		757.77	735.55	622.34
AP1G2	AP1G2	Not DIU	0.63633	YES	1,2	49.1	33.29	47.88
AP1M1	AP1M1	DIU	7.712E-5	NO		544.27	437.09	547.86
AP1S1	AP1S1	Not DIU	0.61309	NO		648.63	531.86	371.71
AP1S2	AP1S2	Not DIU	0.42824	NO		1443.83	1206.42	788.0
AP2A2	AP2A2	DIU	4.1789E-10	NO		1239.74	1245.33	1148.9
AP2B1	AP2B1	Not DIU	0.19714	YES	1	1401.95	1439.85	1211.92
AP3B1	AP3B1	DIU	2.1816E-9	YES	3	1322.92	1256.73	1001.0
AP3M1	AP3M1	Not DIU	0.98337	YES	1,3	1162.34	1004.2	794.37
AP3S1	AP3S1	DIU	4.1843E-6	NO		421.77	401.92	324.9
AP4B1	AP4B1	Not DIU	0.38952	YES	3	97.34	116.35	91.03
